envSteps,gradientSteps,totalReward,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,actorLoss,criticLoss,entropies,logprobs,advantages,criticValues
58000,5300,-75.94501718213048,11302.53671875,11305.2783203125,-3.196272134780884,0.45489957332611075,-0.003463875502347946,0.15546073019504547,8.338652610778809,14.374770164489746,-6.0494796343846247e-05,-23.916601181030273
59000,5400,-76.10921501706473,11302.8482421875,11305.7490234375,-3.3881499767303467,0.4872161388397216,-0.08708540350198746,1.065011739730835,8.602697372436523,14.480714797973633,0.002387926448136568,-15.04687786102295
60000,5500,-70.49180327868888,11302.6412109375,11305.2685546875,-3.127701759338379,0.500404143333435,-0.02876400761306286,0.5229464173316956,8.415102005004883,14.426669120788574,0.0004324867040850222,-27.629056930541992
61000,5600,-58.0645161290327,11301.38828125,11304.1376953125,-3.335160732269287,0.5857997179031371,-0.047539424151182175,0.7791832685470581,8.00986099243164,16.199535369873047,0.0021868653129786253,-20.62369728088379
62000,5700,-70.80291970802936,11303.0845703125,11305.9765625,-3.445096254348755,0.5534793376922607,-0.043280068784952164,0.08829821646213531,8.051051139831543,15.1144437789917,0.0022682289127260447,-29.77162742614746
63000,5800,-55.39033457249128,11300.9888671875,11304.1044921875,-3.5483627319335938,0.4327270030975341,-0.04728856310248375,-0.5970960259437561,8.994990348815918,16.130407333374023,0.0027342038229107857,-30.6545467376709
64000,5900,-75.08896797153022,11301.948828125,11304.548828125,-3.104753017425537,0.5047793626785277,-0.0477885901927948,0.4415977895259857,8.032256126403809,16.242053985595703,0.0006369556649588048,-26.477298736572266
65000,6000,-67.50902527075847,11305.733984375,11307.9296875,-3.0279674530029297,0.8326952695846557,0.12877652049064636,0.45155608654022217,7.9126996994018555,17.053850173950195,-0.005918652750551701,-25.038354873657227
66000,6100,-28.825622775801108,11300.8814453125,11303.8740234375,-3.4821321964263916,0.4897948741912841,0.0015764058334752917,-0.9484775066375732,8.839056015014648,17.124666213989258,-0.0002384191902820021,-30.860441207885742
67000,6200,-51.9230769230773,11300.6373046875,11303.5361328125,-3.3667497634887695,0.4681757926940917,0.14535415172576904,0.18364372849464417,7.21919059753418,19.155628204345703,-0.005113017745316029,-25.418027877807617
68000,6300,-74.35897435897434,11300.9146484375,11304.0166015625,-3.6000378131866455,0.4972958803176879,0.02898016944527626,-0.8459921479225159,8.61540412902832,18.6439151763916,-0.0012299434747546911,-31.080345153808594
69000,6400,-36.02693602693678,11302.2173828125,11304.8837890625,-3.266662836074829,0.5997768878936767,-0.0074925776571035385,-0.3400547206401825,8.332695960998535,18.63499641418457,0.00015225092647597194,-28.818111419677734
70000,6500,-9.090909090909342,11301.175390625,11303.794921875,-3.1660537719726562,0.5467562913894652,0.09005377441644669,0.03681224584579468,7.926087856292725,18.602657318115234,-0.00505923293530941,-26.37775421142578
71000,6600,-77.19869706840373,11303.3775390625,11306.4033203125,-3.6106739044189453,0.5845594644546508,0.24629276990890503,0.6667894124984741,8.385140419006348,20.084976196289062,-0.012588064186275005,-22.661901473999023
72000,6700,-64.15770609319077,11303.5201171875,11306.1796875,-3.3563179969787598,0.6965079545974731,-0.05140143260359764,1.451485514640808,7.754688262939453,19.807146072387695,-0.00864799227565527,-22.29711151123047
73000,6800,-66.29213483146124,11305.7740234375,11306.7958984375,-1.7693217992782593,0.7475034236907958,0.35513338446617126,0.44844868779182434,8.267522811889648,18.90304183959961,-0.023356344550848007,-25.95084571838379
74000,6900,-72.22222222222237,11306.42734375,11308.33984375,-2.6416690349578857,0.7289153575897216,0.00921846553683281,0.6272625923156738,8.40286922454834,19.514490127563477,-0.0006751248729415238,-23.047325134277344
75000,7000,-49.664429530202035,11304.526953125,11306.8349609375,-3.157001495361328,0.8488183259963988,-0.001513540861196816,-0.05171794444322586,8.515667915344238,18.975671768188477,-0.00044992653420194983,-28.08378028869629
76000,7100,-71.73144876325105,11303.1509765625,11304.984375,-2.6048145294189453,0.7708206415176391,-0.017751963809132576,0.2987055778503418,8.606176376342773,19.05647087097168,0.0006744228303432465,-28.80554962158203
77000,7200,-50.877192982456535,11304.9234375,11306.7548828125,-2.6072096824645996,0.7755686283111571,-0.10932770371437073,-0.38127613067626953,8.963542938232422,18.451438903808594,0.006257290951907635,-30.69380760192871
